1 2 3
1 0.000000 0.000000
2 0.000000 8.000000
3 0.000000 4.000000
4 0.000000 6.000000
5 6.000000 9.000000
6 8.000000 16.000000
7 4.000000 9.000000
8 4.000000 13.000000
9 6.000000 8.000000
10 6.000000 13.000000
11 8.000000 17.000000
12 13.000000 15.000000
13 4.000000 10.000000
14 15.000000 18.000000
15 8.000000 17.000000
16 13.000000 23.000000
17 18.000000 24.000000
18 10.000000 15.000000
19 13.000000 16.000000
20 17.000000 24.000000
21 23.000000 25.000000
22 24.000000 31.000000
23 31.000000 33.000000
24 33.000000 36.000000
25 24.000000 27.000000
26 17.000000 24.000000
27 13.000000 21.000000
28 25.000000 28.000000
29 16.000000 23.000000
30 36.000000 38.000000
31 28.000000 30.000000
32 38.000000 38.000000
