1 2 3
1 0.000000 0.000000
2 0.000000 6.000000
3 0.000000 4.000000
4 0.000000 2.000000
5 4.000000 6.000000
6 4.000000 7.000000
7 7.000000 17.000000
8 2.000000 4.000000
9 2.000000 9.000000
10 4.000000 8.000000
11 17.000000 23.000000
12 6.000000 10.000000
13 2.000000 9.000000
14 10.000000 14.000000
15 4.000000 14.000000
16 9.000000 18.000000
17 10.000000 11.000000
18 23.000000 32.000000
19 11.000000 21.000000
20 10.000000 15.000000
21 7.000000 16.000000
22 14.000000 22.000000
23 4.000000 7.000000
24 11.000000 14.000000
25 14.000000 21.000000
26 6.000000 14.000000
27 7.000000 17.000000
28 18.000000 27.000000
29 7.000000 12.000000
30 14.000000 16.000000
31 12.000000 22.000000
32 14.000000 20.000000
33 32.000000 41.000000
34 14.000000 24.000000
35 7.000000 13.000000
36 41.000000 50.000000
37 27.000000 37.000000
38 7.000000 16.000000
39 14.000000 16.000000
40 16.000000 24.000000
41 41.000000 43.000000
42 16.000000 18.000000
43 50.000000 52.000000
44 9.000000 17.000000
45 41.000000 43.000000
46 16.000000 18.000000
47 16.000000 17.000000
48 20.000000 22.000000
49 52.000000 59.000000
50 59.000000 64.000000
51 11.000000 18.000000
52 59.000000 61.000000
53 8.000000 17.000000
54 17.000000 26.000000
55 24.000000 25.000000
56 22.000000 32.000000
57 18.000000 28.000000
58 17.000000 25.000000
59 32.000000 41.000000
60 4.000000 7.000000
61 32.000000 36.000000
62 25.000000 27.000000
63 61.000000 68.000000
64 13.000000 23.000000
65 6.000000 8.000000
66 14.000000 19.000000
67 27.000000 32.000000
68 36.000000 39.000000
69 16.000000 18.000000
70 18.000000 24.000000
71 43.000000 46.000000
72 16.000000 23.000000
73 32.000000 38.000000
74 68.000000 69.000000
75 18.000000 25.000000
76 15.000000 20.000000
77 52.000000 56.000000
78 22.000000 27.000000
79 38.000000 44.000000
80 41.000000 51.000000
81 46.000000 47.000000
82 44.000000 53.000000
83 21.000000 22.000000
84 23.000000 31.000000
85 21.000000 27.000000
86 56.000000 65.000000
87 69.000000 71.000000
88 26.000000 33.000000
89 51.000000 54.000000
90 33.000000 40.000000
91 69.000000 79.000000
92 65.000000 66.000000
93 39.000000 44.000000
94 38.000000 43.000000
95 24.000000 27.000000
96 22.000000 23.000000
97 22.000000 25.000000
98 69.000000 74.000000
99 23.000000 28.000000
100 44.000000 54.000000
101 21.000000 27.000000
102 79.000000 84.000000
103 47.000000 55.000000
104 18.000000 28.000000
105 71.000000 81.000000
106 19.000000 25.000000
107 84.000000 86.000000
108 27.000000 29.000000
109 25.000000 27.000000
110 64.000000 74.000000
111 36.000000 37.000000
112 27.000000 30.000000
113 74.000000 78.000000
114 74.000000 79.000000
115 81.000000 90.000000
116 86.000000 89.000000
117 89.000000 90.000000
118 43.000000 53.000000
119 54.000000 57.000000
120 90.000000 98.000000
121 90.000000 99.000000
122 99.000000 99.000000
